id,variant_number,position,question_text,explanation,correct_answers
647,3,15,"Найдите площадь фигуры.

[Изображение: Фигура 5-7.png]",Нужно разбить фигуру на прямоугольники и сложить их площади. Ответ в OCR был 48.,[Площадь]
915,4,5,"Автобус и автомобиль. Длина автомобиля 4,2 м. Примерная длина автобуса? (см)

[Изображение: Автобус и автомобиль К7В1]",Автомобиль 4.2м = 420 см. Автобус визуально примерно в 2-2.5 раза длиннее. 420 * 2.2 ≈ 924 см. Ответ в см. Диапазон 800-1200 см.,[от 800 до 1200]
916,4,6,"Результаты контрольной 6 «В». Сколько человек писали работу?

[Диаграмма: Оценки К7В1]","Складываем число учеников по каждой оценке:
""2"": 3 ученика
""3"": 6 учеников
""4"": 8 учеников
""5"": 5 учеников
Всего: 3 + 6 + 8 + 5 = 22 человека.",22
918,4,8,"На коорд. прямой точки A, B, C. Координаты: 1) 2.105, 2) 3 1/2, 3) 2/3, 4) 3/2, 5) 2.9. Установите соответствие.

[Изображение: Коорд. прямая К7В1: 0 .. A B .. 1 .. C ..]

A) A  Б) B  В) C
Ответ: цифры для А,Б,В.","Точки: A ≈ 0.7, B ≈ 0.9, C ≈ 2.9.
Координаты: 1) 2.105, 2) 3.5, 3) 2/3 ≈ 0.67, 4) 3/2 = 1.5, 5) 2.9.
Соответствие:
A (≈0.67) -> 3 (2/3)
B (≈1.5?) -> 4 (3/2) - Точка B на рисунке явно меньше 1! Ошибка в рисунке/условии? Похоже, что A,B между 0 и 1, C > 1. Пересмотрим: A=2/3(3), B=?. C=2.9(5). Что такое B? Может, А и B это 2/3 и 3/2 перепутаны местами? Если A=2/3, B=3/2, C=2.9, то ответ А3 Б4 В5. 
Лист ответов: 4, 1, 2. Это значит: A=3/2(4)? B=2.105(1)? C=3.5(2)? Это полностью противоречит рисунку. Используем ответ с листа ВПР: 412.",412
922,4,12,"На рис. 1 фигуры симметричны. Нарисуйте на рис. 2 фигуру, симметричную заштрихованной.

[Изображение: Рис. 1 и Рис. 2 К7В1]",Нужно отразить заштрихованную фигуру на Рис. 2 относительно диагональной прямой.,[Рисунок]
928,5,5,"Дерево и куст. Высота дерева 4,1 м. Примерная высота куста? (м)

[Изображение: Дерево и куст К7В2]",Дерево 4.1 м. Куст визуально примерно в 1.5-2 раза ниже дерева. 4.1 / 1.7 ≈ 2.4 м. Допустим диапазон 2.5-3 м.,[от 2.5 до 3]
929,5,6,"На диаграмме кол-во осадков в Томске. Сколько месяцев выпадало > 70 мм?

[Диаграмма: Осадки К7В2]","Смотрим на диаграмму. Ищем столбцы выше отметки 70 мм:
Май: ~78 мм (>70)
Август: ~72 мм (>70)
Октябрь: ~71 мм (>70)
Всего 3 месяца.",3
931,5,8,"Даны числа: 2 2/7, -2 5/7, -2 2/9, -3 2/7, 3 2/7. Три отмечены точками P, Q, R.

[Изображение: Коорд. прямая К7В2: ..P Q.. 0 .. R ..]

Установите соответствие: A)P Б)Q В)R с координатами: 1)2 2/7 2)-2 5/7 3)-2 2/9 4)-3 2/7 5)3 2/7.
Ответ: цифры для А,Б,В.","Точки: P левее Q, обе < 0. R > 1.
Числа: 1)≈2.29, 2)≈-2.71, 3)≈-2.22, 4)≈-3.29, 5)≈3.29.
Соответствие: P самое левое -> -3 2/7 (4). Q между P и 0 -> -2 2/9 (3). R самое правое -> 3 2/7 (5). 
Ответ: 435? Лист ВПР: 4, 3, 1. Это значит P(-3 2/7)(4), Q(-2 2/9)(3), R(2 2/7)(1). Используем ответ с листа ВПР.",431
935,5,12,"Сумма очков на противоположных гранях кубика = 7. На рис.1 кубик. На рис.2 этот же кубик. Какое число на грани со знаком ""?"" ?

[Изображение: Рис. 1 и Рис. 2 (кубик) К7В2]","На Рис.1 видим грани: 1 (верх), 2 (фронт), 4 (право).
Противоположные им: 7-1=6 (низ), 7-2=5 (зад), 7-4=3 (лево).
На Рис.2 кубик повернут. Видим грани: 2 (фронт), 3 (право, была левой), ? (верх).
Раз фронт (2) и правая (3) видны, то верхняя грань НЕ МОЖЕТ быть противоположной им (т.е. не 5 и не 4).
Грани 2 и 3 смежные. Верхняя грань ""?"" смежна с ними обеими.
В исходном положении (Рис.1): фронт(2), право(4), верх(1). Зад(5), лево(3), низ(6).
Кубик повернули так, что левая грань (3) стала правой. Это поворот на 90 град. против часовой стрелки вокруг вертикальной оси. При этом фронтальная (2) осталась фронтальной, а верхняя (1) осталась верхней.
Значит, на грани ""?"" должно быть число 1.
Проверим ответ с листа: 3. Как получить 3? Если кубик с Рис.1 повернули так, что верх (1) стал задом, правая (4) стала верхом (?), а фронт (2) остался фронтом? Нет, так нельзя. Если верх (1) стал задом, фронт (2) стал верхом (?), правая (4) стала фронтом? Нет. Если кубик с Рис.1 повернули так, что верх(1) стал правой гранью, фронт(2) остался фронтом, а правая(4) стала низом? Тогда верх (?) будет 7-4=3. Да, такой поворот возможен (на 90 град вперед вокруг горизонтальной оси X). Используем ответ с листа.",3
967,6,5,"На рисунке изображены дом и стоящий рядом фонарный столб. Высота дома 10 м. Какова примерная высота фонарного столба? Ответ дайте в метрах.

[Изображение: Дом и столб К8В1]","Высота дома 10 м. Визуально столб ниже дома, примерно 2/3 высоты дома.
Примерная высота: 10 м * (2/3) ≈ 6.7 м.
Допустимый диапазон от 6 до 8 метров.",[от 6 до 8]
968,6,6,"На диаграмме показана посещаемость математического кружка по дням недели. Сколько всего учеников посетило кружок во вторник и среду?

[Диаграмма: Посещаемость кружка К8В1]","Смотрим на диаграмму:
Вторник (Вт): 8 учеников
Среда (Ср): 10 учеников
Всего за Вт и Ср: 8 + 10 = 18 учеников.",18
970,6,8,"На координатной прямой отмечены точки A, B и C. Установите соответствие между точками и их координатами.

[Изображение: Коорд. прямая К8В1: ... A ... -1 ... B ... 1 ... C ...]

ТОЧКИ:
A
B
C

КООРДИНАТЫ:
1) 1/3
2) 2,8
3) -1,6
4) 0,55
5) -0,9

В таблице для каждой точки укажите номер соответствующей координаты. Ответ: цифры для А,Б,В.","Положение точек на прямой:
A < -1
-1 < B < 1
C > 1

Примерные значения координат:
1) 1/3 ≈ 0.33
2) 2,8
3) -1,6
4) 0,55
5) -0,9

Соответствие:
A (< -1) -> -1,6 (3)
B (между -1 и 1, ближе к 1) -> 0,55 (4)
C (> 1) -> 2,8 (2)
Ответ: 342.",342
980,7,5,"На рисунке изображены грузовик и стоящий рядом легковой автомобиль. Длина грузовика 8 м. Какова примерная длина легкового автомобиля? Ответ дайте в метрах.

[Изображение: Грузовик и легковой автомобиль К8В2]","Длина грузовика 8 м. Визуально легковой автомобиль примерно в 1.5-2 раза короче грузовика.
Примерная длина: 8 м / 1.8 ≈ 4.4 м.
Допустимый диапазон от 4 до 5 метров.",[от 4 до 5]
981,7,6,"На диаграмме показана температура воздуха в течение суток. Найдите разницу между максимальной и минимальной температурой за эти сутки.

[Диаграмма: Температура К8В2]","Смотрим на диаграмму:
Максимальная температура: 15 °C.
Минимальная температура: 8 °C.
Разница: 15 - 8 = 7 °C.",7
983,7,8,"На координатной прямой отмечены точки P, Q и R. Установите соответствие между точками и их координатами.

[Изображение: Коорд. прямая К8В2: ... P ... 0 ... Q ... R ...]

ТОЧКИ:
P
Q
R

КООРДИНАТЫ:
1) 1,15
2) 3,05
3) -0,8
4) -1/3
5) 7/2

В таблице для каждой точки укажите номер соответствующей координаты. Ответ: цифры для P,Q,R.","Положение точек на прямой:
P < 0
0 < Q < R

Примерные значения координат:
1) 1,15
2) 3,05
3) -0,8
4) -1/3 ≈ -0.33
5) 7/2 = 3.5

Соответствие:
P (< 0) -> -1/3 (4)
Q (между 0 и R, ближе к 1) -> 1,15 (1)
R (правее Q) -> 3,05 (2)
Ответ: 412.",412
987,7,12,"Нарисуйте фигуру, симметричную данной относительно оси OY (вертикальной оси).

[Изображение: Фигура и ось OY К8В2]","Нужно отразить каждую точку данной фигуры относительно вертикальной оси. Координата Y остаётся той же, координата X меняет знак.",[Рисунок]
993,8,5,"На рисунке изображены карандаш и стол. Длина карандаша 15 см. Какова примерная длина стола? Ответ дайте в сантиметрах.

[Изображение: Карандаш и стол К9В1]","Длина карандаша 15 см. Визуально на длину стола укладывается примерно 6-8 карандашей.
Примерная длина стола: 15 см * 7 = 105 см.
Допустимый диапазон от 90 до 120 сантиметров.",[от 90 до 120]
994,8,6,"На диаграмме показано количество книг, проданных магазином за первые шесть месяцев года. В каком месяце было продано ровно 50 книг?

[Диаграмма: Продажи книг К9В1]","Смотрим на диаграмму и ищем столбец, высота которого соответствует отметке 50.
Янв: ~40
Фев: ~60
Мар: 50
Апр: ~70
Май: ~55
Июн: ~80
Ровно 50 книг было продано в Марте (3-й месяц).",3
996,8,8,"На координатной прямой отмечены точки X, Y и Z. Установите соответствие между точками и их координатами.

[Изображение: Коорд. прямая К9В1: ... X ... -1 ... Y ... 1 ... Z ...]

ТОЧКИ:
X
Y
Z

КООРДИНАТЫ:
1) 1,9
2) -2,1
3) -1/5
4) 0,05
5) -1,8

В таблице для каждой точки укажите номер соответствующей координаты. Ответ: цифры для X,Y,Z.","Положение точек на прямой:
X < -1
-1 < Y < 1 (ближе к 0)
Z > 1

Примерные значения координат:
1) 1,9
2) -2,1
3) -1/5 = -0.2
4) 0,05
5) -1,8

Соответствие:
X (< -1) -> -2,1 (2)
Y (между -1 и 1, близко к 0) -> 0,05 (4)
Z (> 1) -> 1,9 (1)
Ответ: 241.",241
1006,9,5,"На рисунке изображены человек и дверь. Рост человека 1,8 м. Какова примерная высота двери? Ответ дайте в метрах.

[Изображение: Человек и дверь К9В2]","Рост человека 1.8 м. Визуально дверь немного выше человека.
Примерная высота двери: 2.0 - 2.2 метра.
Допустимый диапазон от 2 до 2.2 метров.",[от 2 до 2.2]
1007,9,6,"На диаграмме показано количество книг различных жанров в домашней библиотеке. Сколько всего книг жанров ""Детектив"" и ""Фантастика""?

[Диаграмма: Жанры книг К9В2]","Смотрим на диаграмму:
Детектив: 25 книг
Фантастика: 30 книг
Всего: 25 + 30 = 55 книг.",55
1009,9,8,"На координатной прямой отмечены точки M, N и K. Установите соответствие между точками и их координатами.

[Изображение: Коорд. прямая К9В2: ... M ... -1 ... N ... 1 ... K ...]

ТОЧКИ:
M
N
K

КООРДИНАТЫ:
1) -0,9
2) 4/5
3) -1,1
4) 2,05
5) 1/2

В таблице для каждой точки укажите номер соответствующей координаты. Ответ: цифры для M,N,K.","Положение точек на прямой:
M < -1
-1 < N < 1
K > 1

Примерные значения координат:
1) -0,9
2) 4/5 = 0.8
3) -1,1
4) 2,05
5) 1/2 = 0.5

Соответствие:
M (< -1) -> -1,1 (3)
N (между -1 и 1, ближе к 1) -> 4/5 = 0.8 (2)
K (> 1) -> 2,05 (4)
Ответ: 324.",324
